"6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b","CWA","Contracted Work and Administration (CWA)","Submit Crime Lower, Legal Help Level 1 and 2 claims, Mediation Claims, New Matter Starts and manage your Online Users and Contacts","https://cwa.dev.legalservices.gov.uk/oa_servlets/AppsLogin"
"d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35","CCLF","CCLF (Crown Court Litigator Fees)","Enter Crown Court Litigator Fee claims and associated disbursements","https://portal.dev.legalservices.gov.uk/oamfed/idp/initiatesso?providerid=cclf"
"4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce","EMI","Management Information (MI)","View your Organisation's financial information","https://portal.dev.legalservices.gov.uk/lscapps/eric-emi/AutoLoginServlet?accounts=null"
"4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a","EFORMS","Electronic Forms (eForms)","Complete online forms for: Civil POA, Crime CRM 4,5,7,14","http://customer.toplev.com/test-laa-saml/workbench.ofml"
"ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d","CCR","Crown Court Remuneration (CCR)","Enter claims for Advocates Graduated Fee Scheme (AGFS) work in the Crown Court and Associated Expenses","https://portal.dev.legalservices.gov.uk/oamfed/idp/initiatesso?providerid=ccr"
"e7f6c011776e8db7cd330b54174fd76f7d0216b612387a5ffcfb81e6f0919683","OBIEE","Oracle Analytics Server (OAS)","An analytical and reporting tool to provide business intelligence to the organisation","https://portal.dev.legalservices.gov.uk/analytics/"
"7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451","CCMS","Client and Cost Management System (CCMS) - Internal","N/A","https://ccmsebs.dev.legalservices.gov.uk/OA_HTML/AppsLogin"
"2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3","PUI","Client and Cost Management System","For applications for civil funding","https://sndpua20.laadev.co.uk/civil"
"19581e27de7ced00ff1ce50b2047e7a567c76b1cbaebabe5ef03f7c3017bb5b7","PUI2","Client and Cost Management System (Upgraded)","The latest version of CCMS. Supported in most modern browsers.","https://sndpua20.laadev.co.uk/civil"
"4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5","PUI_BETA","Client and Cost Management System (Beta)","Trial version of CCMS where we can try our new things before releasing them to all users","https://sndpua20.laadev.co.uk/ccms_beta"
